U_ID,CODEBASE,CODE1,CODE2,TOWN_ID,TOWN,COUNTY_ID,COUNTY,X,Y,AREA,bus_stops,MRT_stops,lon,lat
6688,A6302-0084-00,A6302-08-002,A6302-08,63000020,信義區,63000,臺北市,307928.90482,2770963.12606,10266.85479,1,0,121.5741008335906,25.04570782201158
6689,A6304-1182-00,A6304-78-004,A6304-78,63000040,中山區,63000,臺北市,304368.70647,2770943.95739,7328.50356,0,0,121.53881822298895,25.045666921833035
6690,A6309-0313-00,A6309-25-004,A6309-25,63000090,南港區,63000,臺北市,309220.69363,2770942.82153,3974.42895,0,0,121.58690162995076,25.045474493574524
6691,A6301-0804-00,A6301-72-006,A6301-72,63000010,松山區,63000,臺北市,305239.97237,2770967.16974,3532.25172,0,0,121.54745348005967,25.045844914400206
6692,A6301-0813-00,A6301-71-008,A6301-71,63000010,松山區,63000,臺北市,306356.49238,2770941.30994,6786.78429,1,0,121.55851723743831,25.04557026868257
6693,A6301-0803-00,A6301-74-001,A6301-74,63000010,松山區,63000,臺北市,305632.94385,2770969.34379,2614.86387,0,0,121.55134795376635,25.045850139585482
6694,A6307-0031-00,A6307-02-007,A6307-02,63000070,萬華區,63000,臺北市,300977.33632,2770944.17911,3982.11606,1,0,121.50520930004095,25.045787017193067
6925,A6302-0149-00,A6302-18-001,A6302-18,63000020,信義區,63000,臺北市,308735.63765,2770751.21139,4629.66553,0,1,121.58208655396128,25.043763576034838
6926,A6303-0028-00,A6303-02-003,A6303-02,63000030,大安區,63000,臺北市,306137.93897,2770779.88223,5900.69247,0,0,121.55634478319935,25.04412104210798
6927,A6305-0065-00,A6305-03-005,A6305-03,63000050,中正區,63000,臺北市,303720.3086,2770756.33456,6200.95578,1,0,121.53238521601266,25.043996240999974
6928,A6302-0136-00,A6302-13-005,A6302-13,63000020,信義區,63000,臺北市,307856.34413,2770785.19213,3209.32974,0,0,121.57337428341613,25.044104233963612
6929,A6305-0068-00,A6305-04-004,A6305-04,63000050,中正區,63000,臺北市,303066.28341,2770736.32806,13489.10162,1,0,121.5259030663473,25.043838707333478
6930,A6307-0058-00,A6307-03-005,A6307-03,63000070,萬華區,63000,臺北市,300792.30892,2770769.15373,1421.88255,0,0,121.50336919658096,25.044213116187954
6931,A6305-0061-00,A6305-02-007,A6305-02,63000050,中正區,63000,臺北市,301832.78917,2770774.05091,3408.1949,0,0,121.51368057304413,25.044222034555666
6932,A6302-0155-00,A6302-09-004,A6302-09,63000020,信義區,63000,臺北市,306801.62204,2770736.74579,3261.47312,0,0,121.56292006597464,25.04370683639319
6933,A6302-0147-00,A6302-09-003,A6302-09,63000020,信義區,63000,臺北市,306849.43147,2770762.38178,3075.12261,0,0,121.56339491032557,25.043936479431288
6934,A6303-0037-00,A6303-04-004,A6303-04,63000030,大安區,63000,臺北市,304973.52654,2770752.25315,4393.75008,0,0,121.5448044005595,25.043914371857742
6935,A6303-0031-00,A6303-01-007,A6303-01,63000030,大安區,63000,臺北市,305059.67057,2770771.99045,3413.8152,0,0,121.54565887217835,25.044089425690654
6936,A6303-0047-00,A6303-05-004,A6303-05,63000030,大安區,63000,臺北市,304843.78754,2770725.88991,6939.54508,0,0,121.54351764409893,25.043681075699876
6937,A6307-0070-00,A6307-05-002,A6307-05,63000070,萬華區,63000,臺北市,300564.16657,2770687.22731,14776.72943,0,0,121.50110529014363,25.043481128855177
6938,A6302-0145-00,A6302-16-002,A6302-16,63000020,信義區,63000,臺北市,307999.40764,2770767.4498,4874.63874,0,0,121.57479128416193,25.043938580165282
6939,A6302-0150-00,A6302-13-004,A6302-13,63000020,信義區,63000,臺北市,307690.77665,2770748.64604,4479.4032,0,0,121.57173199310674,25.043780623479165
6940,A6303-0033-00,A6303-06-002,A6303-06,63000030,大安區,63000,臺北市,305634.53825,2770769.25883,2739.83471,0,0,121.55135567662063,25.044043732291296
6941,A6307-0060-00,A6307-03-005,A6307-03,63000070,萬華區,63000,臺北市,300811.32273,2770752.1426,1618.34307,0,0,121.50355699700829,25.04405890153426
7174,A6305-0102-00,A6305-05-001,A6305-05,63000050,中正區,63000,臺北市,303178.38523,2770556.2935,5848.58508,0,0,121.52700704580512,25.042209428350812
7175,A6302-0226-00,A6302-23-001,A6302-23,63000020,信義區,63000,臺北市,307316.0912,2770564.658,5860.06927,0,0,121.56801124665371,25.042133843057574
7176,A6302-0227-00,A6302-17-009,A6302-17,63000020,信義區,63000,臺北市,307460.27595,2770562.21897,6561.31078,0,0,121.56943998231654,25.042106354469794
7177,A6302-0233-00,A6302-19-006,A6302-19,63000020,信義區,63000,臺北市,306915.81929,2770553.57683,3940.02623,0,0,121.5640441853078,25.04204891480835
7178,A6302-0235-00,A6302-23-002,A6302-23,63000020,信義區,63000,臺北市,307594.25287,2770539.12563,10758.56804,0,0,121.57076669682111,25.04189277611962
7179,A6303-0103-00,A6303-09-005,A6303-09,63000030,大安區,63000,臺北市,306040.9261,2770562.75315,2707.19796,0,0,121.55537456147762,25.042164418565026
