最小統計區代碼,X,Y
A6301-0090-00,305038.02907,2772709.17855
A6301-0091-00,306691.4067,2772706.30439
A6301-0092-00,307271.51272,2772702.97919
A6301-0093-00,305412.17268,2772702.37078
A6301-0094-00,307295.52488,2772699.35888
A6301-0095-00,306957.22546,2772700.35203
A6301-0096-00,306583.15517,2772689.97723
A6301-0097-00,304942.38111,2772680.80324
A6301-0098-00,307101.95836,2772680.57909
A6301-0099-00,305230.7392,2772679.09668
A6301-0100-00,306923.30604,2772676.08755
A6301-0101-00,306735.25335,2772670.36863
A6301-0102-00,306220.24297,2772676.27078
A6301-0103-00,307293.91977,2772666.32549
A6301-0104-00,306420.75614,2772666.09778
A6301-0105-00,305211.08963,2772661.82677
A6301-0106-00,305364.19999,2772650.71067
A6301-0107-00,306614.54375,2772649.33637
A6301-0108-00,306720.29684,2772648.62863
A6301-0109-00,307306.15842,2772644.40989
A6301-0110-00,306560.82136,2772644.57222
A6301-0111-00,306257.2098,2772643.44752
A6301-0112-00,305064.45874,2772641.92739
A6301-0113-00,307404.32936,2772638.33332
A6301-0114-00,306903.17036,2772629.86145
A6301-0115-00,306422.8312,2772628.92859
A6301-0116-00,305658.24057,2772626.81163
A6301-0117-00,306734.02616,2772621.26566
A6301-0118-00,307313.73129,2772618.49388
A6301-0119-00,306255.99521,2772612.65311
A6301-0120-00,305483.48142,2772610.48423
A6301-0121-00,307022.28483,2772607.64247
A6301-0122-00,307324.39644,2772596.35853
A6301-0123-00,306737.4194,2772593.85338
A6301-0124-00,306425.28345,2772590.5419
A6301-0125-00,306954.35361,2772583.49663
A6301-0126-00,305359.33518,2772588.78072
A6301-0127-00,307176.06086,2772572.88557
A6301-0128-00,306289.65991,2772576.10671
A6301-0129-00,306228.0009,2772570.6186
A6301-0130-00,306592.95595,2772570.54839
A6301-0131-00,306874.52428,2772566.55916
A6301-0132-00,305187.91136,2772573.46414
A6301-0133-00,307338.58689,2772563.80858
A6301-0134-00,306738.65206,2772565.9276
A6301-0135-00,305059.36691,2772559.24533
A6301-0136-00,305294.50782,2772556.11755
A6301-0137-00,306428.86846,2772552.7912
A6301-0138-00,305330.84042,2772552.80265
A6301-0139-00,307065.64511,2772545.01922
A6301-0140-00,305878.65924,2772556.08907
A6301-0141-00,306741.34619,2772538.69407
A6301-0142-00,305736.02474,2772534.7736
A6301-0143-00,307014.02457,2772528.06013
A6301-0144-00,306293.22605,2772529.92704
A6301-0145-00,306224.24443,2772523.78988
