,統一編號,商業名稱,商業地址,登記狀態,Type
12988,10345215,蘇家肉圓油粿店,臺北市萬華區三水街109號,核准設立,餐廳餐館
12991,10345876,竹湖快炒店,臺北市北投區竹子湖路55之1號,核准設立,餐廳餐館
12992,10346137,大橋頭油飯,臺北市大同區民權西路186之1號,核准設立,餐廳餐館
12999,10346925,紘意小館,臺北市大安區樂利路13號,核准設立,餐廳餐館
13000,10347044,峻愿得意餐飲店,臺北市萬華區艋舺大道384號,核准設立,餐廳餐館
13013,10349205,阿迪仔小吃店,臺北市南港區研究院路2段7號,核准設立,餐廳餐館
13017,10351089,喬記小吃店,臺北市內湖區金龍路143號,核准設立,餐廳餐館
13020,10351145,協昌小吃店,臺北市大安區安東街50之7號,核准設立,餐廳餐館
13027,10351644,廖柏棟涼麵專賣店,臺北市大安區通化街151號,核准設立,餐廳餐館
13041,10352854,亓家蒸餃店,臺北市松山區南京東路5段123巷4弄3號,核准設立,餐廳餐館
13042,10353039,松山小吃店,臺北市信義區松山路540巷1號,核准設立,餐廳餐館
13043,10353235,佳美美而美早餐店,臺北市松山區富錦街358號,核准設立,餐廳餐館
13044,10353734,葉阿鳳葱燉牛肉麵,臺北市大安區和平東路2段118巷54弄1號,核准設立,餐廳餐館
13046,10354522,豆香坊,臺北市松山區南京東路5段23巷15弄1號,核准設立,餐廳餐館
13051,10354810,德卡伯咖啡館,臺北市中山區遼寧街146號,核准設立,餐廳餐館
13070,10355894,尚月中華時尚料理店,臺北市中山區松江路194巷4號1樓,核准設立,餐廳餐館
13076,10357507,後驛鵝肉店,臺北市大同區長安西路220巷29號,核准設立,餐廳餐館
13077,10358013,安琪兒早餐屋,臺北市士林區通河街72號1樓,核准設立,餐廳餐館
13078,10358029,鮮蓓早餐店,臺北市松山區撫遠街379巷1號1樓,核准設立,餐廳餐館
13086,10359245,米蘭飲料店,臺北市中正區延平南路157巷2號,核准設立,餐廳餐館
13088,10359414,福岡屋小吃店,臺北市內湖區內湖路1段323巷6號1樓,核准設立,餐廳餐館
13095,10366180,金頂小吃店,臺北市內湖區內湖路2段386號1樓,核准設立,餐廳餐館
13098,10367435,貴秀小吃店,臺北市中正區杭州南路1段93號,核准設立,餐廳餐館
13099,10367532,彭記傳統美食店,臺北市信義區永吉路30巷177弄1號,核准設立,餐廳餐館
13101,10367603,龍記搶鍋麵館,臺北市中正區衡陽路84巷6號1樓,核准設立,餐廳餐館
13104,10367738,日惹企業社,臺北市文山區興隆路2段220巷41號,核准設立,餐廳餐館
13109,10368119,黃記美味燒臘店,臺北市信義區信義路6段108號,核准設立,餐廳餐館
13118,10368568,奕盛小吃店,臺北市信義區忠孝東路5段627號,核准設立,餐廳餐館
13122,10369166,小溫州大餛飩,臺北市信義區吳興街104號,核准設立,餐廳餐館
13126,10370570,小廚房複合式早餐店,臺北市大同區酒泉街19號,核准設立,餐廳餐館
13135,10372177,盛宴時尚美食餐館,臺北市大安區忠孝東路4段223巷10弄6號,核准設立,餐廳餐館
13142,10372508,華江自助餐店,臺北市萬華區長順街6號1樓,核准設立,餐廳餐館
13143,10372514,華登小吃店,臺北市中正區博愛路9號地下1樓,核准設立,餐廳餐館
13147,10372887,鮮味自助餐,臺北市松山區光復北路170號,核准設立,餐廳餐館
13148,10372964,三號場老芋小吃店,臺北市北投區竹子湖路37之5號,核准設立,餐廳餐館
13149,10373204,蔣記家薌麵,臺北市大安區四維路208巷18之1號,核准設立,餐廳餐館
13155,10375266,金臻小吃店,臺北市信義區虎林街222巷53號,核准設立,餐廳餐館
13156,10375569,陳伯的店,臺北市大同區民權西路144巷14號,核准設立,餐廳餐館
13166,10376531,老李牛肉麵,臺北市中山區吉林路383號,核准設立,餐廳餐館
13170,10376650,真鶴小吃店,臺北市北投區大興街57號,核准設立,餐廳餐館
13171,10376700,陽明小吃店,臺北市大同區延平北路3段156號,核准設立,餐廳餐館
13181,10378025,王國雄商行,臺北市萬華區內江街7號公有西門市場56號攤位,核准設立,餐廳餐館
13182,10378046,余木通商行,臺北市萬華區內江街21號公有西門市場48號攤位,核准設立,餐廳餐館
13183,10378101,佳輝小吃店,臺北市大安區雲和街93號1樓,核准設立,餐廳餐館
13185,10378427,蘇麗秋商行,臺北市萬華區成都路10巷65號公有西門市場32號攤位,核准設立,餐廳餐館
13186,10378432,蘇俊賢商行,臺北市萬華區成都路10巷63號公有西門市場第31號攤位,核准設立,餐廳餐館
13188,10380330,大堤弁當店,臺北市內湖區內湖路1段285巷8弄2號,核准設立,餐廳餐館
13189,10380508,愛染餐廳,臺北市中山區林森北路145巷43號,核准設立,餐廳餐館
13192,10381653,連萬龍商行,臺北市萬華區西寧南路179號西門市場第33號攤位,核准設立,餐廳餐館
13194,10382224,北方麵食館,臺北市文山區興隆路1段238號,核准設立,餐廳餐館
13211,10383300,龔秀卿商行,臺北市萬華區成都路10巷41號公有西門市場20號攤位,核准設立,餐廳餐館
13212,10383358,陳智清商行,臺北市萬華區成都路10巷59號公有西門市場29號攤位,核准設立,餐廳餐館
13213,10383575,慧芝商行,臺北市萬華區成都路10巷57號西門公有市場第28號攤位,核准設立,餐廳餐館
13214,10383667,方紹楨商行,臺北市萬華區內江街29之6號公有西門市場39號攤位,核准設立,餐廳餐館
13215,10383673,石清秀商行,臺北市萬華區內江街17號公有西門市場51號攤位,核准設立,餐廳餐館
13216,10383929,艾莉絲美食坊,臺北市文山區萬寧街183號5樓,核准設立,餐廳餐館
13220,10385285,牡丹小吃店,臺北市萬華區成都路10巷43號西門市場21號攤位,核准設立,餐廳餐館
13222,10385715,金昌吉小吃店,臺北市中山區吉林路319號,核准設立,餐廳餐館
